amfi_code,beta,alpha_pct,r_squared,scheme_name,fund_house,sub_category
100016,-0.0583,3.7476,0.0027,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap
100025,0.0012,4.2818,0.0,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration
100033,0.0051,27.1954,0.0,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap
101206,0.0211,21.3998,0.0003,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap
101207,-0.0653,10.8971,0.0011,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap
101208,0.0003,6.0861,0.0,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid
102885,-0.0195,17.0488,0.0004,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index
102886,-0.0421,2.8969,0.0009,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap
102887,0.0167,16.2113,0.0002,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap
118632,-0.0084,21.8294,0.0001,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap
118633,-0.0366,15.6438,0.0011,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap
118634,0.1035,17.5007,0.0028,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap
118635,-0.0014,15.1364,0.0,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF
118636,0.0013,5.0748,0.0,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt
119092,0.0097,6.8995,0.0001,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap
119093,0.0259,8.2328,0.0006,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap
119094,-0.0663,26.0767,0.0019,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap
119095,-0.067,4.8016,0.0012,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap
119120,-0.0064,5.6209,0.0004,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt
119551,-0.0318,23.201,0.0009,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap
119552,-0.0262,19.8686,0.0006,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap
119598,-0.0232,30.337,0.0001,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap
119599,0.062,4.8824,0.001,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap
120503,-0.0403,17.7033,0.0014,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap
120504,0.0162,21.1948,0.0002,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap
120505,0.0005,29.2636,0.0,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap
120506,0.0419,16.2539,0.0013,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value
120507,-0.0004,6.7462,0.0001,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid
120841,0.0364,13.0429,0.0012,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap
120842,0.0181,7.8044,0.0002,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap
120843,-0.0228,27.3305,0.0003,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap
120844,-0.0004,6.4557,0.0001,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid
125497,0.0488,17.7298,0.0018,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap
125498,0.0091,11.9891,0.0,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap
148567,0.0237,26.9838,0.0005,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap
148568,-0.0264,20.873,0.0005,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap
148569,0.0181,28.2704,0.0002,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS
149322,-0.0041,13.1732,0.0,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap
149323,-0.0025,26.5986,0.0,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap
149324,0.0115,30.0579,0.0,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap
