amfi_code,scheme_name,fund_house,category,cagr_3y_pct,sharpe_ratio,alpha_pct,beta,max_drawdown_pct,expense_ratio_pct,rank_3y_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,31.78,1.18,29.2636,0.0005,-18.19,1.36,36.0,36.0,38.0,26.0,25.0,84.5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,35.11,0.998,26.0767,-0.0663,-20.96,1.38,40.0,30.0,32.0,24.0,28.0,80.75
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,32.44,1.094,27.1954,0.0051,-16.22,1.38,37.0,34.0,35.0,24.0,20.0,80.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,34.0,1.448,26.9838,0.0237,-11.27,1.46,39.0,40.0,34.0,18.0,8.0,80.0
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,29.58,1.307,27.3305,-0.0228,-12.97,1.45,34.0,39.0,36.0,19.0,13.0,78.25
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,32.49,1.027,21.1948,0.0162,-12.59,0.8,38.0,31.5,28.0,29.0,12.0,76.06
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,26.67,0.945,30.337,-0.0232,-28.71,1.43,29.0,27.0,40.0,20.0,36.0,75.12
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,27.0,0.95,30.0579,0.0115,-31.17,1.52,31.0,28.0,39.0,14.5,37.0,74.94
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,29.18,1.235,28.2704,0.0181,-16.4,1.6,33.0,38.0,37.0,4.5,21.0,73.94
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,30.46,1.208,23.201,-0.0318,-15.01,1.54,35.0,37.0,31.0,10.5,17.0,73.06
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,22.65,1.082,21.8294,-0.0084,-17.41,1.51,27.0,33.0,30.0,16.5,23.0,67.81
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,26.87,1.132,26.5986,-0.0025,-17.25,1.61,30.0,35.0,33.0,3.0,22.0,67.5
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,28.97,1.027,21.3998,0.0211,-11.29,1.6,32.0,31.5,29.0,4.5,9.0,62.12
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,21.09,0.645,15.6438,-0.0366,-18.63,0.72,26.0,20.0,19.0,35.5,26.0,61.31
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,16.27,0.953,19.8686,-0.0262,-11.8,0.66,18.0,29.0,26.0,37.0,11.0,61.25
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,18.43,0.776,17.7298,0.0488,-15.2,0.92,22.0,23.0,25.0,27.0,18.0,58.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,18.42,0.649,16.2539,0.0419,-19.83,1.41,21.0,21.0,21.0,22.0,27.0,54.38
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,20.01,0.665,15.1364,-0.0014,-11.65,0.89,24.0,22.0,18.0,28.0,10.0,53.75
