amfi_code,scheme_name,fund_house,category,sub_category,cagr_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,sortino_ratio,ann_std_pct,alpha_pct,beta,r_squared,max_drawdown_pct,var_95_pct,cvar_95_pct,composite_score
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,-2.22,1.29,2.32,-0.202,-0.351,14.548,3.7476,-0.0583,0.0027,-24.73,-1.4364,-1.806,21.12
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,3.7,3.92,3.91,-0.567,-0.942,3.905,4.2818,0.0012,0.0,-4.31,-0.3793,-0.4994,23.62
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,53.23,32.44,26.07,1.094,1.829,18.937,27.1954,0.0051,0.0,-16.22,-1.9034,-2.3456,80.5
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,47.92,28.97,20.44,1.027,1.8,14.568,21.3998,0.0211,0.0003,-11.29,-1.3282,-1.7439,62.12
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,-23.99,-4.15,6.95,0.163,0.277,25.797,10.8971,-0.0653,0.0011,-35.45,-2.6021,-3.2459,30.81
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,7.24,6.32,5.71,-0.816,-1.681,0.506,6.0861,0.0003,0.0,-0.16,-0.0269,-0.0422,24.12
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,20.21,19.67,15.88,0.817,1.436,12.837,17.0488,-0.0195,0.0004,-10.86,-1.2613,-1.549,48.25
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,-16.8,-0.77,1.03,-0.206,-0.347,18.135,2.8969,-0.0421,0.0009,-28.0,-1.922,-2.3251,21.56
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,13.58,25.56,14.68,0.62,1.089,15.758,16.2113,0.0167,0.0002,-21.54,-1.5232,-1.9411,50.94
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,33.98,22.65,20.88,1.082,1.85,14.148,21.8294,-0.0084,0.0001,-17.41,-1.3954,-1.7619,67.81
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,25.54,21.09,14.19,0.645,1.154,13.997,15.6438,-0.0366,0.0011,-18.63,-1.3443,-1.663,61.31
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,15.81,8.01,14.27,0.448,0.746,25.242,17.5007,0.1035,0.0028,-23.34,-2.5438,-3.2304,44.06
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,22.49,20.01,13.91,0.665,1.138,12.983,15.1364,-0.0014,0.0,-11.65,-1.2554,-1.6177,53.75
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,10.45,4.06,4.66,-0.357,-0.614,3.986,5.0748,0.0013,0.0,-8.32,-0.3804,-0.4919,27.38
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1.61,0.53,5.58,0.031,0.053,13.951,6.8995,0.0097,0.0001,-14.4,-1.375,-1.7328,19.81
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,19.77,20.82,6.92,0.13,0.221,13.983,8.2328,0.0259,0.0006,-21.75,-1.4226,-1.7487,52.88
