amfi_code,ann_return_pct,ann_std_pct,sharpe_ratio,sortino_ratio,scheme_name,fund_house
100016,3.632,14.548,-0.202,-0.351,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
100025,4.378,3.905,-0.567,-0.942,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund
100033,31.254,18.937,1.094,1.829,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
101206,23.931,14.568,1.027,1.8,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
101207,11.287,25.797,0.163,0.277,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
101208,6.275,0.506,-0.816,-1.681,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF
102885,18.51,12.837,0.817,1.436,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
102886,2.806,18.135,-0.206,-0.347,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
102887,17.653,15.758,0.62,1.089,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
118632,24.352,14.148,1.082,1.85,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
118633,16.797,13.997,0.645,1.154,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
118634,19.498,25.242,0.448,0.746,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
118635,16.332,12.983,0.665,1.138,Nippon India ETF Nifty 50 BeES,Nippon India MF
118636,5.209,3.986,-0.357,-0.614,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF
119092,7.174,13.951,0.031,0.053,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
119093,8.666,13.983,0.13,0.221,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
119094,29.511,19.407,0.998,1.704,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
119095,4.702,25.067,-0.076,-0.128,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
119120,5.76,3.967,-0.227,-0.377,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund
119551,25.977,13.741,1.208,2.14,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
119552,21.872,13.939,0.953,1.61,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,35.32,25.141,0.945,1.675,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
119599,5.204,24.95,-0.057,-0.094,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
120503,19.212,13.884,0.798,1.338,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
120504,23.659,14.364,1.027,1.805,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
120505,33.975,19.291,1.18,2.029,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,17.795,15.231,0.649,1.096,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
120507,6.977,0.494,0.496,1.052,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF
120841,14.055,13.464,0.494,0.863,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
120842,8.176,17.895,0.076,0.125,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
120843,31.318,15.887,1.307,2.364,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120844,6.666,0.513,-0.089,-0.188,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF
125497,19.571,14.669,0.776,1.331,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
125498,12.766,18.352,0.301,0.509,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
148567,31.052,14.194,1.448,2.386,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
148568,23.101,15.429,0.926,1.633,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
148569,32.724,17.674,1.235,2.147,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
149322,14.062,14.354,0.464,0.762,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
149323,30.443,17.746,1.132,1.875,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
149324,35.087,24.84,0.95,1.62,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
